symbol,calendarYear,marketCap,marginProfit,roe,roic,revenuePerShare,netIncomePerShare,debtToEquity,peRatio,shareValue,marketCap_YoY_Growth,marginProfit_YoY_Growth,roe_YoY_Growth,roic_YoY_Growth,revenuePerShare_YoY_Growth,netIncomePerShare_YoY_Growth,debtToEquity_YoY_Growth,peRatio_YoY_Growth,shareValue_YoY_Growth,date,date_NY,benchmark,return,target
ADBE,2020,229451430000.0,0.408765930991607,0.396562123039807,0.2815379980580154,26.75259875259876,10.935550935550935,0.3549457177322074,43.62194486692015,477.03,,,,,,,,,,2020-11-27,2021-12-03,28.132838366609825,29.243443808565495,1
ADBE,2021,294084810000.0,0.3054798859676909,0.3258768669324863,0.2391838598425753,33.092243186582806,10.10901467505241,0.3158072582280192,60.98813977602654,616.53,28.16865425506392,-25.267772383417363,-17.824510209268084,-15.043844350527891,23.697303176455755,-7.558249834596776,-11.02660422394971,39.81068464986232,29.24344380856549,2021-12-03,2022-12-02,-23.64210581264844,-44.60447991176423,0
ADBE,2022,160519100000.0,0.2701351811882312,0.3384812468863426,0.2459868022145225,37.45957446808511,10.119148936170212,0.3297274215358337,33.75086206896552,341.53,-45.41741207238823,-11.570223246448986,3.867835134326248,2.844231369300876,13.197447078090583,0.1002497418745695,4.407803476690164,-44.65995816086124,-44.60447991176423,2022-12-02,2023-12-01,33.29003589130062,79.33124469299916,1
ADBE,2023,279898790000.0,0.2796640733680251,0.3286112120111393,0.246829022635175,42.47045951859956,11.87746170678337,0.2470032691609153,51.56573139277819,612.47,74.37101877595876,3.52745323207424,-2.915976871982384,0.3423843934188042,13.37678049381912,17.376093401770063,-25.088648068637564,52.78344976021736,79.33124469299916,2023-12-01,2024-11-29,30.722675283376933,-15.762404689209275,0
ADBE,2024,230620710000.0,0.2585445245291792,0.3941864587025877,0.2540799380402225,48.1096196868009,12.43847874720358,0.4293512938674229,41.47854496402878,515.93,-17.605678109576683,-7.551756142467935,19.95526759118176,2.93762675378928,13.277841191550376,4.723374861312379,73.82413412014934,-19.561802298342123,-15.762404689209276,2024-11-29,2025-04-29,0.2923058814297441,,0
ADI,2020,43694069490.0,0.217874138684318,0.1017475075940088,0.0692261790324948,15.199550772719752,3.311589032994876,0.4288319374692916,35.79248476155447,118.53,,,,,,,,,,2020-10-31,2021-10-30,43.33283836958943,46.368008099215395,1
ADI,2021,68955682380.0,0.1899928480521258,0.0365972353205531,0.0353303026041528,18.41254258268715,3.4982514051657767,0.1781895773123051,49.5933481921316,173.49,57.81474050106841,-12.796971132305812,-64.0313200922987,-48.96395684706397,21.13872875594518,5.636640607004617,-58.447689702433806,38.55799205480408,46.3680080992154,2021-10-30,2022-10-29,-27.16583357074408,-16.490864026745065,1
ADI,2022,75225462880.0,0.228780735200146,0.0753746511445956,0.0606966006475405,23.13819608417144,5.293573511341882,0.1795849991511113,27.36903524426054,144.88,9.09247836233218,20.41544592108984,105.95722732712822,71.79756801858271,25.665404331109087,51.32055699384554,0.7831108080808447,-44.81309239652654,-16.490864026745065,2022-10-29,2023-10-28,22.789986487447543,10.829652125897283,0
ADI,2023,80643392240.0,0.2693566693827877,0.0931974590161675,0.0752002904817475,24.50170240048424,6.599696952802689,0.1972010105855956,24.329905016594864,160.57,7.202254599141122,17.73573030401545,23.645625685724703,23.8953906470456,5.892880807789336,24.673756559011384,9.809288925998416,-11.104265095727117,10.829652125897285,2023-10-28,2024-11-02,41.15722104775419,40.42473687488324,0
ADI,2024,111875509680.0,0.1734640676929428,0.0464878969563527,0.0404940050908795,19.00000604636352,3.2958183349927244,0.215533849095117,68.41396493429536,225.48,38.72867518649412,-35.600604176453544,-50.118922289192255,-46.15179697915112,-22.45434322968508,-50.06106555251615,9.29652361064548,181.1928977430524,40.42473687488324,2024-11-02,2025-04-29,4.882752395215717,,0
